id,document,label,is_test
8932939,수OO만에 다시보네여,1,0
3681731,일방적인 영화다. 관객 좀 고려해주시길,0,0
9847174,세상을 초월하는 한 사람의 선한 마음,1,0
8506899,멍하다.. 여러생각이 겹치는데 오랜만에 영화 보고 이런 느낌 느껴본다,1,0
9991656,"우와 별 반개도 아까운판에 밑에 CJ 알바생들 쩐다.. 전부 만점이야 ㅎㅎㅎ..,. CJ야 그만해라 저영화는 정말 쓰레기다...원작에서 크게벋어났고 마치 메간폭스를 위해 스폰한 영화. 저걸보느니 투니버스봐라. 돈아깝고 시간아깝다.",0,0
6093387,지금도 가끔 다시 본다,1,0
10155375,재미있는 추리 영화인줄 알고 봤는데 아니네요. 스토리도 그닥 와닿지 않고 다른 분들이 극찬(?)하는 영상미도 감흥이 없었습니다. 오락영화가 아닙니다. 혹시 보실분들 참고하시기 바랍니다.,0,0
6265202,일본영화를 거의 처음 본 건데 정말 재밌게 봤습니다~! 강추 두둥!!,1,0
5716851,결말이참 맘에든다. 넘 사랑스럽지만 이루어질 수 없는 로망스ㅜㅜ,1,0
9891398,엇갈린 사랑 해보신 분들께 추천 합니다.,1,0
9408352,"네티즌 평균 평점이 7점이네 , 이영화가????",1,0
4844571,정말 재미있어요,1,0
6904821,재미없다,0,0
4329384,사랑의 정의는 없다........사랑의 방법도.....,1,0
8270005,이런 감독만 만났으면 아놀드 형 신세도 오래 안갔을 듯..J카메론과 J맥티어난 감독들이 살렸다,0,0
6078910,진짜 잼있어요~!! 요즘 빠져서 매주 챙겨보고있어요 진짜내용도좋고연기도좋고!,1,0
9666694,인물들간의 갈등과 심리묘사가 멋지다,1,0
8810982,시작은 엄청 굉장했지만 중반이후로 산으로 가버리는 영화;;;;이건뭐...여주인공이 호텔리어인데 거의 첩보원수준이고...남주인동은 나홀로집에 도둑이 되어버리는;;밑도끝도없이 시간 아깝고 끝내는 짜증나버렸네요;;노래는 무슨 슬릴러 노래에;;ㅋ,0,0
1502430,"총, 칼 없이도 가능한 전쟁..",1,0
6654573,난 볼만하던데,1,0
4411138,졸라 참신한 영화였음ㅋㅋ 국물 먹는 컷은 아우 아주그냥;;;;;,1,0
8938121,좋다..너무좋다 불교에대해깊이생각해본다...,1,0
6668779,원년 멤버 모아놓고 참 밋밋한 동창회 웃음도 없고 이건뭐,0,0
7080530,1같은 속시원한액션은 없지만 2에는스토리가있다 1에엑션을몰아넣고 2에서설명하는느낌,1,0
5581337,제목 네이밍은 개간지인데 내용은 쥬라기공원 믹스,0,0
7017146,뻔할것같지만 뻔하지않은영화,1,0
5364171,줄리엣 비노쉬란 배우에 대해 다시 생각하게 되었다..,1,0
3677839,볼거리 하나 있었다 담배피는 조니,0,0
10218206,믿고 보는 스페인 스릴러 영화..강추~,1,0
5059309,정말 멜로와 액션 연기 모두 최고의영화 내용도 참신하고 오랫만에 재미잇영화봤네요,1,0
493092,좋았다,1,0
6156059,강력한 망작의 위력땜에 김태희도 소용없네.. 그냥 한숨만 나온다.어이없다.,0,0
378151,두 여배우의 팽팽한 대결도 볼만했다.,1,0
3975805,나도 잃어버린 것을 찾고 싶다,1,0
10178860,화면 너무 머리아프고... 감독의 연출력최악이라고 생각한다. 먼가 되게 흔들리고 어려운척하면 다 작품성 있을줄아나보다. 영화공부다시해야될듯,0,0
5519530,legend,1,0
5333889,아니 어떻게 이게 6점...말도안돼,1,0
348065,난 일상적인 이런영화가 몸에더 와닫는다..!,1,0
325606,꼬마아이가 귀엽다-_-,0,0
10233761,꼭 다시 보고싶은 영화!!,1,0
5183786,너무나 재미없소이다.,0,0
10027235,가슴에 하나씩은 한이 있나????,1,0
9276703,두 분다 안타깝소이다.,0,0
65486,하드디스크 용량이 아까운 영화 -_- 받고 있었던 시간은 더 아까운영화,0,0
842920,10번 봐도 웃기고! 음악도 최고! 호테이도 멋있고!,1,0
10071148,몇번을 봐도 너무 슬픈영화...ㅠㅠ,1,0
1139593,차가운 파랑색의 화면처리.. 왠지 우울한 작품..,1,0
8415748,대책없는 평점알바들 때문에 기본점수만 준다.,0,0
3053762,오오오오 간만에 재밌게 본 영화입니다. 소름끼칩니다 !!,1,0
8712276,좋은사람이 되고 싶었던 두남자의 이야기.과거와 현재를 넘나들며 무간도시리즈의 궁금증을 풀어주었다.하지만 그로인해 어려움을 느꼈다.정신분열을 통해 진영인이 되어버려 유건명을 잡는 충격적 결말이 좋았다,1,0
9614840,요즘 홍콩느와르가 이때만 못하는이유 : 무간도시리즈가 이미 한획을 그었기때문,1,0
6661209,"이정도 반전은 뻔하다. 영화 보는 시간이 아까웠고, 누가 진범인일지도 다 짐작이 갔다.",0,0
6667440,우익년 영화,0,0
8542051,성우빠들이 작품에 상관없이 성우 썼냐 안썼냐로 평점 메기는 어이없는 애니메이션계,0,0
6568533,`오션스`를 떠올리게 할만큼 멋진 영화군요~ 역시 명품 배우들~ 반전 씬도 맘에 들고~ 아주 재밌게 봤네요~^^*,1,0
8026744,지루함의 극치인 영화 입니다 기,0,0
1968683,주윤발이 안 나오면 가치없다,0,0
6902232,크리퀴는 매력적인데..,0,0
819603,생각보다 별루다,0,0
6583779,10점만점에 10점,1,0
3935801,"표현하기 힘들지만, 뭔가 짠함. 좋다!",1,0
5784571,크루엘라드빌 배우 누군지 모르겠지만 진짜 애니메이션에서 나왔던거랑 싱크로율 100%,1,0
106230,어린이 영화...(재밌어 할지는...??),0,0
6258486,정말 더 이상 말이 필요없는 영화임. 최고.,1,0
10053919,유다 벤허가 좌절과 역경을 이겨내며 활약하는 이야기는 역시 훌륭하다. 마차 경주씬이나 후반부 장면은 영화 역사를 통틀어서 최고의 명장면이다.,1,0
8766093,한지민 최고다! 3번 봣는데 또 보고 싶을정도로 재밋네요,1,0
2922710,마지막에 절정을 달리는 모습이 일품이죠. 계약서!!! ㅎㅎㅎ,1,0
3700251,별반개도 아깝다 보는 내내 잠깰려고 혼났다,0,0
2327257,주연들의 연기가 정말 좋다. 장혁짱!!,1,0
6476394,스토리도 별루고 외모에 치우쳐진거 같다,0,0
950971,참나..........................정말 화성으로 가버렸다,0,0
3238243,영화가 공포를 유실했다.,0,0
6804700,포스터보면 정말 재밌을줄 알았습니다. 뭡니까 이게...,0,0
9429784,심오한 척 하려고 영화에다 온갖 막장요소에 뜬구름 잡는 소리 때려박는 분들이나 그걸 또 무슨 철학적인 영화인양 추앙하면서 허세부리는 자아도취에 빠진 분들이나ㅋㅋ,0,0
6823883,안하던 학교숙제가 재밌어지는 영화,0,0
1694251,"어른은 올바른 결정을 하는 존재가 아니라, 잘못된걸 수정할 수 있는자다.",1,0
1723598,불쌍하다 ㅠㅠ,1,0
4481681,추억의 영화...,1,0
5848194,군더더기 하나없는 손에꼽을정도의 잔혹미스테리. 진실파헤치기 그리고 사후세계,1,0
9837790,"아쌀하게 섬짓하기도 했지만, 로버트 드니로의 연기력은 빛났었죠",1,0
6053969,하류속에 담겨있는 근대역사,1,0
9252155,군인들도 피해자 였다는걸 잘 보여준것같다,1,0
10226135,1점 주기도 아까운.. 영화다 이게 어떻게 평점이 9점이란 거지? 예민한 종교적인 영화에 평점 9점이란. 영화를 보고 지워버리고 쳐다도 안 보는 50%랑 영화를 본 기독교인이 영화를 보고 평점 10몰빵을 준 50퍼로 나늬겟지...,0,0
3656574,결말-김하늘은나쁘다,0,0
10185436,노력이 정의인것일까 결과가 정의일까,1,0
9926300,전작과 이어지는 점은 흥미로웠으나 결국 기대이하..,0,0
130392,.......,1,0
8509951,볼만햇다 액션영화가 아닌데 아쉽다,1,0
3055405,지금 내옆에서 알게모르게 일어나고있는 현실. 사람답게 살고싶다.,1,0
10233921,솔직히 평점높은건 빅뱅 팬인듯ㅋㅋ걍 스토리도 막장임,0,0
7785809,내용전개가 너무나 느리다........,0,0
8664614,인생에 지름길은 없다. 젊음의 쾌락과 미래를 위한 지루함. 현명한 여자가 되기 위해 누구라도 고민해 봤을 뻔한. . 성장영화,1,0
3671609,시작부터 재미없음~더티한영화,0,0
5978087,"경찰서를 털어라, 마틴 로렌스 영향때문인지 정말 웃기게 봤음 시리즈 중에 제일 나음",1,0
5587581,아무 것도.. 정말 아무 것도 없는 영화,0,0
179458,황망한 느낌,0,0
9042702,여주인공이 미스트광신 아줌마 추격자의수퍼 아줌마를 능가 하는 무개념녀 모든사건의원흉,0,0
7642541,내 평점은 4점이지만 평점에 낚여서 본 사람으로써 1점 준다. 단순한 친구에서 연인되는 그런 영화인줄 알았느데 영화보는내내 너무 황당했고 이해가 안갔다. 결말을 그렇게 엽기적으로 끝냈어야하는지...? 이렇게 황당한 영화는 처음인거같다,0,0
9325557,"언데드가 출몰하는 서부극 으로 이야기 전개 방식이 짜증스럽다. 빈약한 스토리, 별거 없는 액션씬. 웨슬리 횽아의 카리수마 눈빛만 여전~",0,0
10842,영화 참 희안스럽네.,0,0
9666952,"신선한 소재와 아름다운연기, 정말 잘어울리는 ost, 자연스러운 스토리전개등 대부분이 좋았다. 단, 개인적으로 결말을 열어놓는걸 별로 좋아하지 않아서 그게 좀 서글펐다.",1,0
9212295,보고 후회한영화는 이영화가첨인듯 너무 억지스러운 것들이많은것같다,0,0
9221685,나도모르게 집중되어버린 드라마.,1,0
10276529,너무 허무하다.. 이거찍은 배우들이 불쌍함..,0,0
6237349,재밌게 봤네요,1,0
9832548,땅콩을 쏴라였으면 더 재미있었겠네,0,0
6754412,배우들은 괜찮은데 내용은 쓰레기도 이런 쓰레기가 없다.,0,0
9262144,이 영화는 고1때 극장에서 보고 지금까지 잊혀지지가 않는다. 말이 필요없는 영화 진짜 최고,1,0
6997227,1점을 만들어보자!,0,0
3843204,찝찝한 블랙 코미디ㅡ.ㅡ;;,0,0
9320061,브이씨들은 다 죽어야함,1,0
8111525,"저 나이 때, 우린 뭐 하고 있었지??",1,0
445707,....정말 실망한 영화다.. ㄱ-,0,0
1427617,good,0,0
7059760,보는내내 정말 잘 잤다,0,0
4387206,10만점에 10점 ~잔잔한 감동이 전해오는 영화였어요,1,0
3650595,앗 전차남!,1,0
9219930,주연에 비해 스토리가 너무 아니네요,0,0
482128,원작을 따라하나 막상 중요(?)한 부분은 희한하게 고치는 센스,0,0
2808189,졸작,0,0
10151076,무간도 한국어판 잘봣씁니다 ^^,0,0
8838490,"배우들의 연기력에 감탄, 또 감탄!!!!",1,0
2694966,저도 라스트 씬의 singing in the rain 이 좋았어요 ...,1,0
6630101,액션영화를 생각하고 본다면 실망이죠,0,0
9151211,별 관심없던 연예인이였는데 방송 한방에 모두 호감으로 ㅋㅋㅋㅋ 견뎌내는 그대들이 너무 대견하고 이뻐 보였다 다음주가 기다려진다~~,1,0
8695681,보는 이를 부끄럽게 만드는 황당한 시츄에이션들,0,0
5230385,옛다!9점 이소룡도 이연결도 액션과 재미는 성룡보다 한수 아래,1,0
5177563,엘렌페이지 너무 예쁘고 음악도 좋고 화면도 예뻐요 포스터보고 관심 없었는데ㅎ,1,0
7340957,재미없다,0,0
9750873,이 유명한 영화를 이제야 봤네요. 건축학개론보다 제겐 더 와닿는 영화입니다. 정말 현실적이고 남녀의 생각을 잘 보여주는...마지막 유지태가 이영애를 거절하는 장면은 참 남자로서 멋집니다.,1,0
9886069,이런 영화좀 만들지 말길..,0,0
5156529,귀여운 캐릭터들도 많이 나와서 보러 가야 겠어요..,1,0
8589993,스토리이해도 안되고 어떤 이야기인지도 모르겟음 애니매이션 만들려면 잘만들어야지 일본한테 밀린다소리안듣지,0,0
10273928,1에 비해 1점도 아깝다,0,0
10000434,그냥 뻔한 영화 눈물한개도안나옴,0,0
3848881,"그래, 상상을 불허한다.",0,0
10002273,"유가와는 논리에 근거하여 어떻게 살인을 했는지 풀어냈지만, 사랑은 논리로 풀어낼 수 없기에 왜 살인을 했는지는 풀어내지 못했다.",1,0
9952572,평점은 주관이니 10점 만점에 3점짜리 애니매이션 이네요. 픽사애니처럼 재미와 감동이 없음.,0,0
9148597,끝까지...봤다....,0,0
9995067,이 감독님 야구치감독 팬이신가보다...근데 왜 그 영화들이 사랑받는지는 몰르나보다...ㅋㅋㅋ 이건 흉내도 제대로 못낸...,0,0
1412085,졸리가 참 매력있는 배우라는 걸 느끼게 해주는 영화,1,0
5373088,"짜증나,,한마디 쓰레기 킬링타임용으로가 아니라 영화보는 전기가 아깝다",0,0
4381514,스케일이 큰 애니메이션 ㅋ 한번쯤은 보는게 좋다!,1,0
7338232,인간적으로 재미없음...,0,0
5151345,명작이란 그누구도따라올 수 없는 작품이어야 명작이다.이건 나도 따라올 수 있겠더라,0,0
905524,자끄 따띠의 최고걸작이자 그에게 최고의 재앙을 불러온 작품.,1,0
8165935,이 영화보다 화려한 CG는 본 적이 없다. 이 영화는 제대로 미쳤다.,0,0
5655830,여애까지 본 외국 영화중 가장 웃겼던 영화 >_<,0,0
4801461,정말로 감동적이에용~질리지 않는 영화에요~,1,0
3453558,막장의 최고봉~~ 갈수록 얽히고 난리법석,0,0
9147749,"모든 편견을 날려 버리는 가슴 따뜻한 영화. 로버트 드 니로, 필립 세이모어 호프만 영원하라.",1,1
498994,무한 리메이크의 소재. 감독의 역량은 항상 그 자리에...,0,1
7415980,신날 것 없는 애니.,0,1
7277917,잔잔 격동,1,1
3456949,오랜만에 찾은 주말의 명화의 보석,1,1
2723610,영화공사중 도로를 보았는데 에어컨을.. 정말 더웠다.하지만 더글라스오빠연기 압권,1,1
1439046,재밌다. 유쾌한 노랫소리. 주인공들의 코믹한 연기. 굿굿,1,1
9409918,음.. 괜찮네요. 생각보다 좋았어요,1,1
4377631,"""21세기 """"레니 할린, 작품은 """"마인트헌터, 뿐인가!? 연출이 tv판 수준!""",0,1
7551322,이걸 영화관에서 보다니 감동이었고 관객이 다들 혼자온 덕후들이라 더욱 감개무량했던 순간이었습니다. 바트 넘 멋져부러,1,1
3726441,여운쩔었음...ㅡㅡ,1,1
6632931,쓰레기 영화 그만 찍고 그냥 쉬어라 쓰레기 액션,0,1
153515,솔직히..이소룡이 사망유희를 다찍엇다면...또 다른신화가됫을텐데.,1,1
10057579,북한말배우기에 적합한 영화... 가서 북한주민과 바로 소통이 가능할 억양이었다. 이런 명작에 대한 평가가 없다니... 각성하라 지성인들여.,1,1
9315093,"올드팬들을 위한 선물 같은 영화지만 차라리 액션 영화가 어울렸을 지도.. 어색한 연기와 멍청한 간수들, 그리고 무적인 주인공은 20년 전을 떠올리게 한다.",0,1
3105892,난 이런영화는 불가능한가봐요.,0,1
9275076,픽업아티스트 얘기는 소스에 불과하다.,1,1
1448671,별루다,0,1
9459587,이거옛날에봤었는데당시졸라재미없었던,0,1
2224001,이게 왜 12세?? 그리고 존나 재미 없음.. 중간에 보다가 나옴,0,1
9987280,꺄~~~하! 이영화는모얌...어리숙하게나온 주원땜시4점 준당..ㅜㅜ뭘찍겠다고 시간은 또 이리긴게얌..,0,1
8135974,너희들중 죄가없는자 이여인에게 돌을던져라,1,1
8339871,이딴게 영화 라니 ^ㅗ^,0,1
7487536,장난하나? 제발 연예인 목소리하면 뜨겠지 이딴생각 버리고성우들 출격보내세요... 진심 안맞고 오글거려 못보겠네요..ㅡㅡ성우님들 목소리 정말 그리우니.....,0,1
9432842,K팝스타 시즌 4 재미없어,0,1
7061049,신난다,1,1
1632187,아무것도 없는데 시종일관 뭔가 숨기고 감추는척 하느라 정말 애썼다.,0,1
9835093,유주얼 서스펙트와 더불어 반전의 대명사,1,1
8744252,일본은 만화와 애니메이션의 연출이 너무 좋다. 오히려 이런건 다른 나라의 연출력이 더 나았을지도 모른다.,0,1
7503359,후반부을 초반에 바탕으로 깔아둔건 괜찬았는데 그게 끝이내 한국 3류 영화에서 자주 등장하는 뻔한스토리 아싸리 후반부의 내용을 초반에 안썼으면 그나마 궁금증이라도 생기겠는데 초반에 다보여주고 멀 보란건지 약간의 기대을 하고 봤지만 역시 기대이하의영화내,0,1
9701608,역시 임권택 감독님작품... 투박하면서 거침없는 ... 배우들을 아주 잘살리는 감독님... 하류인생 잘봤습니다 ~,1,1
9899648,발연기의 정석을 보여준 영화,0,1
10002069,ㅋ장르분석이잘못된듯,0,1
10232261,생각보다 괜찮은 B급 영화...마지막에 좀 짠하다...,1,1
5811048,엄마의 마음 ㅜㅜ 마지막에 터피가 어떻게 알았는지 궁금해요.,1,1
4492632,영웅주의의 흔한 액션 스릴러와 다른 독특한 구성이 빛났다. 충분히 스릴감 있음.,1,1
5452680,"재밌는 영화, 볼만한 영화, 그러나 ... 모든 것을 그리기엔 시간이 부족했던 영화",1,1
8443110,완전 재미있어요..재미납니다..간만에 제대로 된 영화 한편 보네요..강추,1,1
9459414,유지태의 사랑이 슬프게 느껴진다.,1,1
9848846,송은채 나가! 하나경 드루와.. ㅎㅎㅎ,0,1
7090375,재미이다,1,1
1945005,이런게 바로 쓰레기다. 전작의 진가를 안다면 절대 속편이랄수 없는 영화.,0,1
1059691,란마 짱이다,1,1
5110282,나머지3개는 너랑깨,0,1
5711663,말이 핑요 없다 굿!!! ㅋ ㅋ,1,1
9621118,트루 라이즈를 고대로 배낀 영화...,0,1
3351452,"재난영화 중 가장 많이 본 영화..DVD가 아주 닳고 닳도록..스릴,흥미 모두 굿~~",1,1
906113,영어로 봤는데 near dark(가까운 밤)이란 뜻이다.,1,1
10275577,기억에 계속 남아서 괴롭히는 영화,0,1
8738042,나도 평점 조절. 고품격 명품스릴러라...추악한 가족의 비밀을 정말 재미없게 풀어놈.,0,1
